year_built,area,url,price,bedrooms,postal_code,rooms,address,property_type
1984,31,http://www.funda.nl/koop/amsterdam/appartement-49800928-jan-muschstraat-8/,132.5,1,1065 LX,1,Jan Muschstraat 8,apartment
1990,79,http://www.funda.nl/koop/amsterdam/appartement-85255640-zeeburgerkade-738-pp/,300.0,1,1019 HT,2,Zeeburgerkade 738 +PP,apartment
1906,93,http://www.funda.nl/koop/amsterdam/appartement-49897032-cliffordstraat-22-huis/,550.0,3,1051 GT,4,Cliffordstraat 22 -HUIS,apartment
2002,90,http://www.funda.nl/koop/amsterdam/appartement-49745134-zeeburgerdijk-768/,318.5,2,1095 LG,3,Zeeburgerdijk 768,apartment
1904,142,http://www.funda.nl/koop/amsterdam/huis-49797355-landsmeerderdijk-47/,475.0,3,1035 PS,6,Landsmeerderdijk 47,house
1995,88,http://www.funda.nl/koop/amsterdam/appartement-49746855-knsm-laan-519/,469.0,2,1019 LG,3,KNSM-laan 519,apartment
2001,80,http://www.funda.nl/koop/amsterdam/appartement-49746173-bijlmerdreef-1266/,185.0,2,1103 JX,3,Bijlmerdreef 1266,apartment
1999,87,http://www.funda.nl/koop/amsterdam/appartement-48313940-ecuplein-47/,250.0,2,1060 RN,3,Ecuplein 47,apartment
1906,119,http://www.funda.nl/koop/amsterdam/appartement-49808429-prins-hendrikkade-127-f/,675.0,4,1011 AN,5,Prins Hendrikkade 127 F,apartment
2004,249,http://www.funda.nl/koop/amsterdam/huis-49883353-lisdoddelaan-58/,1.175,4,1087 KA,6,Lisdoddelaan 58,house
1973,124,http://www.funda.nl/koop/amsterdam/huis-49720912-bloemendalergouw-43/,975.0,4,1028 BH,6,Bloemendalergouw 43,house
1967,76,http://www.funda.nl/koop/amsterdam/appartement-49808111-loggerhof-95/,175.0,2,1034 CE,3,Loggerhof 95,apartment
1885,65,http://www.funda.nl/koop/amsterdam/appartement-49809910-de-wittenkade-31-2rechts/,325.0,1,1052 AB,2,De Wittenkade 31 2rechts,apartment
1998,157,http://www.funda.nl/koop/amsterdam/huis-49860927-osdorperweg-820/,589.0,4,1067 TC,5,Osdorperweg 820,house
1880,72,http://www.funda.nl/koop/amsterdam/appartement-85236468-sarphatistraat-109-1/,475.0,1,1018 GB,3,Sarphatistraat 109 1,apartment
1800,205,http://www.funda.nl/koop/amsterdam/appartement-85235718-amstelveld-7-bov/,1.675,4,1017 JD,6,Amstelveld 7 Bov,apartment
1988,92,http://www.funda.nl/koop/amsterdam/huis-49770482-kadoelenweg-129/,337.5,2,1035 NC,3,Kadoelenweg 129,house
2013,54,http://www.funda.nl/koop/amsterdam/appartement-49749260-amstelvlietstraat-345/,275.0,1,1096 GG,2,Amstelvlietstraat 345,apartment
1934,133,http://www.funda.nl/koop/amsterdam/appartement-49781101-hunzestraat-105-ii/,650.0,5,1079 VX,7,Hunzestraat 105 II,apartment
1918,50,http://www.funda.nl/koop/amsterdam/appartement-49892670-distelweg-12/,189.0,2,1031 HE,3,Distelweg 12,apartment
2007,131,http://www.funda.nl/koop/amsterdam/appartement-49801612-carolina-macgillavrylaan-74/,575.0,3,1098 XA,4,Carolina MacGillavrylaan 74,apartment
2008,173,http://www.funda.nl/koop/amsterdam/appartement-49861594-westerdok-692/,730.0,4,1013 BV,6,Westerdok 692,apartment
1906,62,http://www.funda.nl/koop/amsterdam/appartement-49801228-van-boetzelaerstraat-30-iii/,295.0,1,1051 CW,2,Van Boetzelaerstraat 30 III,apartment
1963,65,http://www.funda.nl/koop/amsterdam/appartement-49801990-wedderborg-11/,249.0,2,1082 SV,3,Wedderborg 11,apartment
1963,64,http://www.funda.nl/koop/amsterdam/appartement-49814670-merckenburg-32/,215.0,1,1082 BT,2,Merckenburg 32,apartment
1924,83,http://www.funda.nl/koop/amsterdam/appartement-49812022-gillis-van-ledenberchstraat-2-f/,399.0,1,1052 VG,2,Gillis van Ledenberchstraat 2 F,apartment
2009,78,http://www.funda.nl/koop/amsterdam/appartement-49894733-galjootstraat-138/,275.0,2,1086 VE,3,Galjootstraat 138,apartment
1999,89,http://www.funda.nl/koop/amsterdam/appartement-49818679-februariplein-4/,525.0,2,1011 MT,3,Februariplein 4,apartment
2001,158,http://www.funda.nl/koop/amsterdam/appartement-49818735-bogortuin-207/,700.0,3,1019 PE,4,Bogortuin 207,apartment
2006,101,http://www.funda.nl/koop/amsterdam/appartement-49804025-anna-blamansingel-260/,239.5,2,1102 SX,3,Anna Blamansingel 260,apartment
2007,136,http://www.funda.nl/koop/amsterdam/huis-48356826-oostzanerdijk-123-a/,475.0,3,1033 AB,5,Oostzanerdijk 123 A,house
